,FlightDate,Airport,Origin_AirTraffic_count,Dest_AirTraffic_count,Total_AirTraffic_count,Date,Holiday
368,2019-01-04,DTW,381,376,757,,
369,2019-01-05,DTW,296,292,588,,
370,2019-01-06,DTW,378,379,757,,
371,2019-01-07,DTW,435,433,868,,
372,2019-01-08,DTW,423,426,849,,
373,2019-01-09,DTW,432,429,861,,
374,2019-01-10,DTW,432,430,862,,
375,2019-01-11,DTW,431,431,862,,
376,2019-01-12,DTW,290,289,579,,
377,2019-01-13,DTW,373,374,747,,
378,2019-01-14,DTW,431,432,863,,
379,2019-01-15,DTW,414,416,830,,
380,2019-01-16,DTW,423,419,842,,
381,2019-01-17,DTW,433,433,866,,
382,2019-01-18,DTW,433,433,866,,
383,2019-01-19,DTW,274,274,548,,
384,2019-01-20,DTW,301,301,602,,
385,2019-01-21,DTW,413,414,827,2019-01-21,"Martin Luther King, Jr. Day"
386,2019-01-22,DTW,416,418,834,,
387,2019-01-23,DTW,424,421,845,,
388,2019-01-24,DTW,433,433,866,,
389,2019-01-25,DTW,433,433,866,,
390,2019-01-26,DTW,291,290,581,,
391,2019-01-27,DTW,375,376,751,,
392,2019-01-28,DTW,433,434,867,,
393,2019-01-29,DTW,416,418,834,,
394,2019-01-30,DTW,424,421,845,,
395,2019-01-31,DTW,433,433,866,,
396,2019-02-01,DTW,433,434,867,,
397,2019-02-02,DTW,273,275,548,,
398,2019-02-03,DTW,306,303,609,,
399,2019-02-04,DTW,433,434,867,,
400,2019-02-05,DTW,416,418,834,,
401,2019-02-06,DTW,424,421,845,,
402,2019-02-07,DTW,433,433,866,,
403,2019-02-08,DTW,433,434,867,,
404,2019-02-09,DTW,290,289,579,,
405,2019-02-10,DTW,375,375,750,,
406,2019-02-11,DTW,433,434,867,,
407,2019-02-12,DTW,417,418,835,,
408,2019-02-13,DTW,425,424,849,,
409,2019-02-14,DTW,434,432,866,2019-02-14,Valentine's Day
410,2019-02-15,DTW,434,434,868,,
411,2019-02-16,DTW,282,284,566,,
412,2019-02-17,DTW,310,310,620,,
413,2019-02-18,DTW,414,414,828,2019-02-18,Washington's Birthday
414,2019-02-19,DTW,427,429,856,,
415,2019-02-20,DTW,431,428,859,,
416,2019-02-21,DTW,434,434,868,,
